twitter_handle,nhl_team,conference,2022_division,2021_division,expansion_type,2021_hashtag,other_hashtag,image,primary_hex,secondary_hex,tertiary_hex
@AnaheimDucks,Anaheim Ducks,Westernern,Pacific,West,Rest of League,#FlyTogether,#ducks,http://www.capsinfo.com/images/NHL_Team_Logos/NHL_Ducks_Primary.png,#F47A38,#B9975B,#C1C6C8
@ArizonCoyotes,Arizona Coyotes,Western,Central,West,Rest of League,#Yotes,#coyotes,http://www.capsinfo.com/images/NHL_Team_Logos/NHL_Coyotes_Primary.png,#8C2633,#E2D6B5,#111111
@NHLBruins,Boston Bruins,Eastern,Atlantic,East,Rest of League,#NHLBruins,#bruins,http://www.capsinfo.com/images/NHL_Team_Logos/NHL_Bruins_Primary.png,#FFB81C,#000000,
@NHLFlames,Buffalo Sabres,Eastern,Atlantic,East,Rest of League,#LetsGoBuffalo,#sabres,http://www.capsinfo.com/images/NHL_Team_Logos/NHL_Sabres_Primary.png,#002654,#FCB514,#ADAFAA
@NHLCanes,Calgary Flames,Western,Pacific,North,Rest of League,#CofRed,#flames,http://www.capsinfo.com/images/NHL_Team_Logos/calgary.png,#C8102E,#F1BE48,#111111
@NHLBlackhawks,Carolina Hurricanes,Eastern,Metropolitan,Central,Rest of League,#LetsGoCanes,#hurricanes,http://www.capsinfo.com/images/NHL_Team_Logos/carolina.png,#CC0000,#000000,#A2AAAD
@Avalanche,Chicago Blackhawks,Western,Central,Central,Rest of League,#Blackhawks,#blackhawks,http://www.capsinfo.com/images/NHL_Team_Logos/chicago.png,#CF0A2C,#FF671B,#00833E
@BlueJacketsNHL,Colorado Avalanche,Western,Central,West,Rest of League,#GoAvsGo,#avalanche,http://www.capsinfo.com/images/NHL_Team_Logos/colorado.png,#6F263D,#236192,#A2AAAD
@BlueJacketsNHL,Columbus Blue Jackets,Eastern,Metropolitan,Central,Rest of League,#CBJ,#jackets,http://www.capsinfo.com/images/NHL_Team_Logos/NHL_BlueJackets_Primary.png,#002654,#CE1126,#A4A9AD
@DallasStars,Dallas Stars,Western,Central,Central,Rest of League,#GoStars,#stars,http://www.capsinfo.com/images/NHL_Team_Logos/NHL_Stars_Primary.png,#006847,#8F8F8C,#111111
@DetroitRedWings,Detroit Red Wings,Eastern,Atlantic,Central,Rest of League,#LGRW,#wings,http://www.capsinfo.com/images/NHL_Team_Logos/detroit.png,#CE1126,#FFFFFF,
@EdmontonOilers,Edmonton Oilers,Western,Pacific,North,Rest of League,#LetsGoOilers,#oilers,http://www.capsinfo.com/images/NHL_Team_Logos/NHL_Oilers_Primary.png,#041E42,#FF4C00,
